Name,Digikey Part,Price,Quantity,Function
ESP32-S3-WROOM-1,5407-ESP32-S3-WROOM-1-N16R8TR-ND,$10.54,1,Main brain of VSPKR1
AMS-1117-3.3t,4518-AMS1117-3.3CT-ND,$0.47,1,Voltage step down
USB4105-GF-A,2073-USB4105-GF-ACT-ND ,$1.17,1,Main power input
PAM8403D,PAM8403DR-HDICT-ND,$1.25,1,Audio amplifier
PCM5102A,296-41603-5-ND,$10.85,1,Amplifier controller
ICS-43432,1428-1053-1-ND,$5.68,1,Microphone
,,,,
0805 0.1uF / 100nF Capacitors,311-3569-1-ND,$1.56,6,Capacitors
0805 1uF Capacitors,311-1365-1-ND,$0.38,2,Capacitors
0805 2.2uF Capacitor,13-AC0805KKX7RGBB225CT-ND,$0.91,1,Capacitors
0805 22uF Capacitors,311-1464-1-ND,$0.96,2,Capacitors
0805 10uF Capacitor,13-CC0805KPX5R6BB106CT-ND,$0.26,1,Capacitors
,,,,
0805 1K Resistor,541-1.00KCCT-ND,$0.16,1,Resistors
0805 5.1K Resistors,1712-CPF-A-0805B5K1ECT-ND,$0.84,2,Resistors
0805 10K Resistor,311-10.0KCRCT-ND,$0.64,4,Resistors
0805 100k Resistor,541-3552-1-ND,$0.34,1,Resistors
,,,,
2x1 Terminal Block,277-1258-ND,$1.7,2,Terminal Block for Speakers
,,,,
Speaker Drivers,https://tinyurl.com/dma58-4-2,$18.99,2,Speaker Driver
,,,,
,,,,
Total Cost,,$89.29,,
,,,,
,,,,
,,,,
,,,,
